title,processor,memory,storage,condition,price,brand,category
"iMac 27"" Retina 5K (Late 2015)","i5 3.3GHz
","8GB
","2TB Fusion
","Premium
",1649.00,Apple,Computers
"iMac 27"" (Mid 2017)","i5 3.3GHz
","8GB
","1TB Fusion
","Excellent
",1559.00,Apple,Computers
"iMac 21.5"" (Mid 2017)","i5 3.0GHz
","16GB
","1TB HDD
","Excellent
",1179.00,Apple,Computers
"iMac 21.5"" (Mid 2017)","i5 3.4GHz
","8GB
","1TB Fusion
","Excellent
",1179.00,Apple,Computers
"iMac 21.5"" (Mid 2017)","i5 3.0GHz
","8GB
","1TB HDD
","Excellent
",1009.00,Apple,Computers
"iMac 27"" Retina 5K (Late 2015)","i5 3.3GHz
","8GB
","2TB Fusion
","Premium
",1649.00,Apple,Computers
"iMac 27"" (Mid 2017)","i5 3.3GHz
","8GB
","1TB Fusion
","Excellent
",1559.00,Apple,Computers
"iMac 21.5"" (Mid 2017)","i5 3.0GHz
","16GB
","1TB HDD
","Excellent
",1179.00,Apple,Computers
"iMac 21.5"" (Mid 2017)","i5 3.4GHz
","8GB
","1TB Fusion
","Excellent
",1179.00,Apple,Computers
"iMac 21.5"" (Mid 2017)","i5 3.0GHz
","8GB
","1TB HDD
","Excellent
",1009.00,Apple,Computers
