title,processor,memory,storage,condition,price,brand,category
"MacBook Pro 15"" Touch (Late 2016)","i7 2.7GHz
","16GB
","512GB SSD
","Excellent
",2109.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Mid 2014)","i7 2.5GHz
","16GB
","512GB SSD
","Excellent
",1359.00,Apple,Computers
"MacBook Pro 15"" Touch (Mid 2017)","i7 2.9GHz
","16GB
","512GB SSD
","Excellent
",2279.00,Apple,Computers
"MacBook 12"" (Early 2016)","m5 1.2GHz
","8GB
","512GB SSD
","Excellent
",1109.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Mid 2012)","i7 2.6GHz
","8GB
","512GB SSD
","Excellent
",999.00,Apple,Computers
"MacBook 12"" (Early 2015)","M 1.2GHz
","8GB
","512GB SSD
","Excellent
",1049.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Late 2013)","i7 2.3GHz
","16GB
","512GB SSD
","Excellent
",1079.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Early 2013)","i7 2.4GHz
","8GB
","256GB SSD
","Excellent
",929.00,Apple,Computers
"MacBook Pro 13"" Touch (Mid 2017)","i5 3.1GHz
","8GB
","256GB SSD
","Excellent
",1419.00,Apple,Computers
"MacBook Pro 13.3"" Retina (Early 2015)","i5 2.9GHz
","8GB
","512GB SSD
","Excellent
",1179.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Mid 2014)","i7 2.5GHz
","16GB
","512GB SSD
","Good
",1299.00,Apple,Computers
"MacBook Pro 15.5"" Retina (DG) (Mid 2015)","i7 2.8GHz
","16GB
","512GB SSD
","Excellent
",1679.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Mid 2015)","i7 2.5GHz
","16GB
","512GB SSD
","Excellent
",1569.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Late 2013)","i7 2.0GHz
","8GB
","256GB SSD
","Excellent
",859.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Mid 2012)","i7 2.3GHz
","8GB
","256GB SSD
","Excellent
",759.00,Apple,Computers
"MacBook Pro 15"" Touch (Late 2016)","i7 2.9GHz
","16GB
","1TB SSD
","Excellent
",2289.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Late 2013)","i7 2.6GHz
","16GB
","1TB SSD
","Excellent
",1379.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Early 2013)","i7 2.7GHz
","16GB
","512GB SSD
","Excellent
",1139.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Early 2013)","i7 2.7GHz
","16GB
","512GB SSD
","Good
",1089.00,Apple,Computers
"MacBook Pro 13.3"" Retina (Late 2013)","i5 2.6GHz
","8GB
","512GB SSD
","Excellent
",829.00,Apple,Computers
"MacBook Pro 15"" Touch (Late 2016)","i7 2.6GHz
","16GB
","256GB SSD
","Excellent
",1729.00,Apple,Computers
"MacBook Pro 13.3"" Touch (Late 2016)","i5 2.9GHz
","8GB
","256GB SSD
","Excellent
",1319.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Late 2013)","i7 2.3GHz
","16GB
","512GB SSD
","Good
",1029.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Late 2013)","i7 2.3GHz
","16GB
","512GB SSD
","Fair
",979.00,Apple,Computers
"MacBook Pro 13.3"" Retina (Early 2013)","i5 2.6GHz
","8GB
","256GB SSD
","Excellent
",739.00,Apple,Computers
"MacBook Pro 13.3"" with Integrated Graphics (Late 2016)","i5 2.0GHz
","8GB
","256GB SSD
","Excellent
",1109.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Mid 2012)","i7 2.6GHz
","16GB
","512GB SSD
","Excellent
",999.00,Apple,Computers
"MacBook Pro 15"" Touch (Late 2016)","i7 2.9GHz
","16GB
","512GB SSD
","Excellent
",2039.00,Apple,Computers
"MacBook Pro 13.3"" Touch (Late 2016)","i7 3.3GHz
","16GB
","512GB SSD
","Excellent
",1689.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Mid 2014)","i7 2.5GHz
","16GB
","512GB SSD
","Fair
",1239.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Late 2013)","i7 2.6GHz
","16GB
","512GB SSD
","Good
",1189.00,Apple,Computers
"MacBook Pro 15"" Retina with Dual Graphics (Late 2013)","i7 2.6GHz
","16GB
","512GB SSD
","Excellent
",1039.00,Apple,Computers
"MacBook 12"" (Early 2016 Silver)","m3 1.1GHz
","8GB
","256GB SSD
","Premium
",969.00,Apple,Computers
"MacBook Pro 13"" Touch (Late 2016)","i7 3.3GHz
","16GB
","1TB SSD
","Excellent
",1929.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Mid 2015)","i7 2.5GHz
","16GB
","512GB SSD
","Good
",1499.00,Apple,Computers
"MacBook Pro 15.5"" Retina (Mid 2014)","i7 2.8GHz
","16GB
","1TB SSD
","Excellent
",1429.00,Apple,Computers
