title,price,brand,category
Google Pixel 2 XL 128GB (Unlocked),629.00,Google,Cell Phones
Google Pixel 2 XL 128GB (Verizon),559.00,Google,Cell Phones
Google Pixel 2 128GB (Unlocked),499.00,Google,Cell Phones
Google Pixel 2 128GB (Verizon),489.00,Google,Cell Phones
Google Pixel 128GB (Sprint),219.00,Google,Cell Phones
Google Pixel 128GB (Unlocked),219.00,Google,Cell Phones
Google Pixel 2 XL 64GB (Verizon),499.00,Google,Cell Phones
Google Pixel XL 128GB (Sprint),249.00,Google,Cell Phones
Google Pixel 32GB (Verizon),179.00,Google,Cell Phones
Google Pixel 2 XL 128GB (Unlocked),569.00,Google,Cell Phones
Google Pixel 2 64GB (Unlocked),439.00,Google,Cell Phones
Google Pixel XL 32GB (Verizon),199.00,Google,Cell Phones
Google Pixel XL 128GB (Verizon),249.00,Google,Cell Phones
Google Pixel XL 128GB (Unlocked),249.00,Google,Cell Phones
Google Pixel 2 XL 64GB (Unlocked),509.00,Google,Cell Phones
Google Pixel XL 128GB (AT&T),249.00,Google,Cell Phones
Google Pixel XL 32GB (Unlocked),199.00,Google,Cell Phones
Google Pixel XL 32GB (Sprint),199.00,Google,Cell Phones
Google Pixel XL 128GB (Sprint),249.00,Google,Cell Phones
Google Pixel 32GB (Verizon),179.00,Google,Cell Phones
Google Pixel 2 XL 128GB (Unlocked),569.00,Google,Cell Phones
Google Pixel 2 64GB (Unlocked),439.00,Google,Cell Phones
Google Pixel XL 32GB (Verizon),199.00,Google,Cell Phones
Google Pixel XL 128GB (Verizon),249.00,Google,Cell Phones
Google Pixel XL 32GB (Sprint),199.00,Google,Cell Phones
